CLUSTER 0
 - members:
        username: richhickey (1.000000)                 repo: joyent/node (118)
        username: pvdb (0.641469)                       repo: rails/rails (106)
        username: defunkt (0.606530)                    repo: mxcl/homebrew (97)
        username: rails (0.457087)                      repo: defunkt/resque (75)
        username: technomancy (0.442083)                repo: mojombo/jekyll (74)
        username: yui (0.435233)                        repo: twitter/bootstrap (69)
        username: tmm1 (0.414103)                       repo: sinatra/sinatra (68)
        username: jeresig (0.411863)                    repo: jquery/jquery (66)
        username: rtomayko (0.403872)                   repo: h5bp/html5-boilerplate (66)
        username: technoweenie (0.386874)               repo: schacon/showoff (63)
        username: bmizerany (0.377770)                  repo: mbostock/d3 (63)
        username: quicklisp (0.377201)                  repo: antirez/redis (62)
        username: weavejester (0.372638)                repo: documentcloud/backbone (61)
        username: facebook (0.367388)                   repo: cucumber/cucumber (59)
        username: mojombo (0.366739)                    repo: defunkt/github-gem (58)
        username: erica (0.359085)                      repo: brynary/webrat (57)
        username: sorbits (0.358985)                    repo: defunkt/mustache (57)
        username: thomasgallagher (0.354866)            repo: documentcloud/underscore (57)
        username: tsion (0.354419)                      repo: jashkenas/coffee-script (55)
        username: adamwiggins (0.352386)                repo: Caged/gitnub (55)
        username: wycats (0.346088)                     repo: visionmedia/express (54)
        username: 37signals (0.340084)                  repo: rubinius/rubinius (54)
        username: Raynes (0.339219)                     repo: unconed/TermKit (54)
        username: mmcgrana (0.338676)                   repo: defunkt/jquery-pjax (53)
        username: odalet (0.336732)                     repo: DmitryBaranovskiy/raphael (53)
        username: tomedme (0.334199)                    repo: mrdoob/three.js (53)
        username: laurentpetit (0.333578)               repo: clojure/clojurescript (53)
        username: leneghan (0.332986)                   repo: robbyrussell/oh-my-zsh (52)
        username: Laurainne (0.332986)                  repo: richhickey/clojure (52)
        username: ryanb (0.331868)                      repo: fog/fog (52)
        username: tenderlove (0.330895)                 repo: javan/whenever (51)
        username: marijnh (0.330572)                    repo: mojombo/grit (51)
        username: bkeepers (0.322925)                   repo: dchelimsky/rspec (51)
        username: headius (0.321950)                    repo: nvie/gitflow (50)
        username: torvalds (0.321573)                   repo: rack/rack (50)
        username: dtsato (0.317824)                     repo: github/gollum (50)
        username: codahale (0.316409)                   repo: carlhuda/bundler (50)
        username: tjweir (0.315577)                     repo: technomancy/leiningen (49)
        username: jnunemaker (0.309908)                 repo: janl/mustache.js (49)
        username: scottjg (0.307655)                    repo: tobi/delayed_job (49)
        username: drnic (0.307228)                      repo: binarylogic/authlogic (49)
        username: dhoppe (0.304684)                     repo: weavejester/compojure (48)
        username: ry (0.303758)                         repo: typhoeus/typhoeus (48)
        username: andreasgal (0.301856)                 repo: bartaz/impress.js (48)
        username: erkyrath (0.301093)                   repo: ileitch/hijack (47)
        username: diaspora (0.300229)                   repo: tobeytailor/gordon (47)
        username: creationix (0.299469)                 repo: intridea/omniauth (47)
        username: ebeigarts (0.298114)                  repo: redis/redis-rb (47)
        username: mislav (0.297747)                     repo: defunkt/cijoe (47)
        username: amarraja (0.295024)                   repo: ezmobius/nanite (47)
        username: alexspurling (0.290534)               repo: jnunemaker/httparty (47)
        username: ice799 (0.289869)                     repo: defunkt/rip (47)
        username: atmos (0.288908)                      repo: harvesthq/chosen (47)
        username: mrdoob (0.287444)                     repo: plataformatec/devise (47)
        username: bcluca (0.286326)                     repo: sstephenson/rbenv (47)
        username: maccman (0.285344)                    repo: mishoo/UglifyJS (47)
        username: IAmFledge (0.280451)                  repo: mislav/will_paginate (46)
        username: evanw (0.280291)                      repo: quirkey/sammy (46)
        username: skabber (0.279684)                    repo: bmizerany/sinatra (46)
        username: kneath (0.277351)                     repo: defunkt/hub (46)
        username: fsattler (0.277208)                   repo: carlhuda/janus (46)
        username: kcunning (0.277169)                   repo: technomancy/emacs-starter-kit (45)
        username: carldr (0.276573)                     repo: jbarnette/johnson (45)
        username: simonw (0.276166)                     repo: rubygems/rubygems.org (45)
        username: seeweer (0.275520)                    repo: opscode/chef (44)
        username: boundary (0.275096)                   repo: isaacs/npm (44)
        username: pedro (0.274735)                      repo: jnicklas/capybara (44)
        username: nkallen (0.273744)                    repo: justinfrench/formtastic (44)
        username: robsimmons (0.273552)                 repo: pivotal/jasmine (44)
        username: lazyatom (0.272904)                   repo: cloudhead/http-console (44)
        username: steipete (0.271365)                   repo: jquery/sizzle (44)
        username: benpickles (0.271028)                 repo: chriseppstein/compass (43)
        username: duckinator (0.270680)                 repo: clojure/clojure (43)
        username: odersky (0.270568)                    repo: rsms/kod (43)
        username: wakatara (0.269911)                   repo: github/hubot (43)
        username: lrug (0.269671)                       repo: brynary/rack-bug (43)
        username: breakpointer (0.269550)               repo: tarcieri/reia (43)
        username: xian (0.269307)                       repo: wycats/bundler (43)
        username: kosmotaur (0.269307)                  repo: jed/fab (42)
        username: EyesOfArgus (0.269307)                repo: madrobby/zepto (41)
        username: willrjmarshall (0.269307)             repo: thoughtbot/paperclip (41)
        username: mysteryhunt (0.269307)                repo: mojombo/proxymachine (41)
        username: elbiczel (0.269307)                   repo: nkallen/cache-money (41)
        username: sarenji (0.269307)                    repo: nathanmarz/storm (41)
        username: claunia (0.269307)                    repo: pieter/gitx (41)
        username: joachimm (0.269307)                   repo: etsy/statsd (40)
        username: paraffin (0.269307)                   repo: technicalpickles/jeweler (40)
        username: corwinlw (0.269307)                   repo: sstephenson/sprockets (40)
        username: ezmobius (0.266020)                   repo: twitter/flockdb (40)
        username: chneukirchen (0.265837)               repo: facebook/three20 (40)
        username: igrigorik (0.265402)                  repo: LearnBoost/socket.io (40)
        username: schacon (0.265085)                    repo: robey/kestrel (40)
        username: doublec (0.265050)                    repo: xdissent/ievms (39)
        username: edjames (0.264826)                    repo: kennethreitz/osx-gcc-installer (39)
        username: hij1nx (0.264622)                     repo: rtomayko/tilt (39)
        username: nddrylliog (0.263975)                 repo: joshuaclayton/blueprint-css (39)
        username: sebastianbergmann (0.262748)          repo: raganwald/homoiconic (39)
        username: paulirish (0.261424)                  repo: lg/murder (38)
        username: substack (0.259443)                   repo: defunkt/fakefs (38)
        username: bryanveloso (0.259223)                repo: foca/integrity (38)
        username: douglascrockford (0.258594)           repo: cowboyd/therubyracer (38)
        username: jpbillaud (0.256571)                  repo: tmpvar/jsdom (37)
        username: dhh (0.256230)                        repo: github/gitignore (37)
        username: fluffle (0.254925)                    repo: ztellman/aleph (37)
        username: tpope (0.254643)                      repo: apenwarr/bup (37)
        username: madrobby (0.254539)                   repo: ruby/ruby (37)
        username: brynary (0.253506)                    repo: brianmario/yajl-ruby (37)
        username: rlane (0.253291)                      repo: tobi/clarity (37)
        username: hakanensari (0.253205)                repo: wycats/thor (37)
        username: topfunky (0.252364)                   repo: brotherbard/gitx (37)
        username: visionmedia (0.251497)                repo: chneukirchen/rack (36)
        username: soba1104 (0.250709)                   repo: tmm1/amqp (36)
        username: jimeh (0.250394)                      repo: mmcgrana/ring (36)
        username: nixeagle (0.250358)                   repo: caolan/async (36)
        username: stevedekorte (0.249400)               repo: mnutt/hummingbird (36)
        username: isaacs (0.249260)                     repo: eventmachine/eventmachine (36)
        username: yrashk (0.248839)                     repo: stevedekorte/io (36)
        username: pjhyett (0.248829)                    repo: altercation/solarized (36)
        username: leevigraham (0.248566)                repo: sorccu/cufon (36)
        username: hiredman (0.248093)                   repo: nzakas/computer-science-in-javascript (36)
        username: hstothard (0.248081)                  repo: senchalabs/connect (36)
        username: ezkl (0.248081)                       repo: sintaxi/phonegap (36)
        username: brandonkelly (0.247812)               repo: macournoyer/thin (36)
        username: textmate (0.247513)                   repo: madrobby/keymaster (35)
        username: macournoyer (0.246831)                repo: micha/resty (35)
        username: lodewijk (0.245534)                   repo: jnicklas/carrierwave (35)
        username: erskinedesign (0.245161)              repo: thoughtbot/factory_girl (35)
        username: al3x (0.245136)                       repo: technoweenie/faraday (35)
        username: jamiepittock (0.244622)               repo: josevalim/inherited_resources (34)
        username: github (0.242591)                     repo: FooBarWidget/passenger (34)
        username: alexscordellis (0.242562)             repo: pilu/web-app-theme (34)
        username: tomash (0.242357)                     repo: Fingertips/passengerpane (34)
        username: markchadwick (0.241786)               repo: pjhyett/github-services (34)
        username: jhollingworth (0.241368)              repo: rtomayko/shotgun (34)
        username: thoughtbot (0.240345)                 repo: 37signals/pow (34)
        username: ryanirelan (0.238760)                 repo: diaspora/diaspora (34)
        username: zedshaw (0.238364)                    repo: faye/faye (34)
        username: omega4650 (0.237468)                  repo: brianleroux/lawnchair (34)
        username: caoilte (0.237468)                    repo: LearnBoost/socket.io-client (34)
        username: ericflo (0.237458)                    repo: jnunemaker/mongomapper (34)
        username: jacobian (0.236669)                   repo: adamwiggins/rest-client (34)
        username: timburks (0.236344)                   repo: imathis/octopress (34)
        username: jquery (0.236172)                     repo: richhickey/clojure-contrib (33)
        username: newism (0.235327)                     repo: erlang/otp (33)
        username: stevej (0.235293)                     repo: cloudhead/vows (33)
        username: jezdez (0.234674)                     repo: defunkt/hurl (33)
        username: leah (0.234369)                       repo: puma/puma (33)
        username: remy (0.233585)                       repo: lifo/cramp (33)
        username: jashkenas (0.233362)                  repo: facebook/tornado (33)
        username: fogus (0.233161)                      repo: square/cube (33)
        username: WardCunningham (0.232920)             repo: wycats/jquery-offline (33)
        username: programble (0.232706)                 repo: jcrosby/cloudkit (32)
        username: adamhope (0.232379)                   repo: wycats/moneta (32)
        username: swannodette (0.232356)                repo: rubygems/rubygems (32)
        username: greggman (0.231916)                   repo: tpope/vim-fugitive (32)
        username: malcolmt (0.231239)                   repo: relevance/blue-ridge (32)
        username: ahoward (0.230321)                    repo: tarcieri/cool.io (32)
        username: mmalone (0.230146)                    repo: gimite/web-socket-js (32)
        username: scottjehl (0.229972)                  repo: notahat/machinist (32)
        username: mdesign (0.229460)                    repo: mozilla/rust (32)
        username: skarab (0.229439)                     repo: sparklemotion/nokogiri (32)
