CLUSTER 0
 - members:
        username: erica (0.359085)                 repo: rails/rails (17.6%)
        username: tsion (0.354419)                 repo: mxcl/homebrew (10.8%)
        username: mislav (0.297747)                repo: amatsuda/kaminari (10.8%)
        username: amarraja (0.295024)              repo: mojombo/jekyll (10.8%)
        username: willrjmarshall (0.269307)        repo: schacon/showoff (9.5%)
        username: corwinlw (0.269307)              repo: eventmachine/eventmachine (9.5%)
        username: fluffle (0.254925)               repo: github/hubot (9.5%)
        username: textmate (0.247513)              repo: cowboyd/therubyracer (9.5%)
        username: macournoyer (0.246831)           repo: technomancy/emacs-starter-kit (8.1%)
        username: github (0.242591)                repo: mynyml/watchr (8.1%)
        username: programble (0.232706)            repo: jashkenas/coffee-script (8.1%)
        username: ajaswa (0.222155)                repo: intridea/omniauth (8.1%)
        username: robey (0.215545)                 repo: jnicklas/carrierwave (8.1%)
        username: pivotal (0.215215)               repo: documentcloud/underscore (8.1%)
        username: williame (0.210690)              repo: technoweenie/faraday (8.1%)
        username: replay (0.207863)                repo: defunkt/resque (8.1%)
        username: rsutphin (0.205628)              repo: sinatra/sinatra (8.1%)
        username: bcandrea (0.205628)              repo: josevalim/inherited_resources (6.8%)
        username: twitter (0.204934)               repo: chneukirchen/rack (6.8%)
        username: AndrewO (0.202903)               repo: antirez/linenoise (6.8%)
        username: jbarnette (0.200524)             repo: guard/guard (6.8%)
        username: Sektor (0.199260)                repo: michaeldv/awesome_print (6.8%)
        username: KirinDave (0.198516)             repo: joyent/node (6.8%)
        username: brandenburgmk (0.197903)         repo: defunkt/jquery-pjax (6.8%)
        username: jmettraux (0.192487)             repo: wycats/moneta (6.8%)
        username: bs (0.192308)                    repo: redis/redis-rb (6.8%)
        username: lukeredpath (0.190314)           repo: mojombo/proxymachine (6.8%)
        username: snowblink (0.190048)             repo: jamesgolick/rollout (6.8%)
        username: rcrowley (0.189861)              repo: jnicklas/capybara (6.8%)
        username: PeterWuMC (0.189650)             repo: mojombo/grit (6.8%)
        username: joshfrench (0.189300)            repo: hassox/warden (6.8%)
        username: ianloic (0.188937)               repo: defunkt/cijoe (6.8%)
        username: cmelbye (0.188404)               repo: freelancing-god/thinking-sphinx (6.8%)
        username: justinlilly (0.186513)           repo: defunkt/mustache (6.8%)
